rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
262,Diana and Roma ARA,24100000,11041261296,,Diana and Roma ARA,590,United States,US,Entertainment,379,76,70,66884000,16700,267500,200700,3200000,200000,2019,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
263,KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,1053,10,76,5439000,1400,21800,16300,261100,,2009,Jul,25,60,66834405,3.85,55908316,55.378051,-3.435973
264,Spider Slack,24000000,13943030228,Comedy,Spider Slack,901,Brazil,BR,Comedy,252,13,14,761451000,190400,3000000,2300000,36500000,1100000,2020,May,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528
265,Goldmines Movies,24000000,5652938599,Film & Animation,Ti Ti,3,,,People,4057888,,7725,3,0,0.01,0.01,0.14,,2018,Apr,30,,,,,,
266,Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,621,78,72,151697000,37900,606800,455100,7300000,200000,2012,Jul,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
267,James Charles,23900000,4067878931,Entertainment,James Charles,505,United States,US,Entertainment,1860,79,73,58126000,14500,232500,174400,2800000,100000,2015,Dec,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
268,Collins Key,23900000,6582932625,Entertainment,Collins Key,257,United States,US,Entertainment,911,79,73,10853000,2700,43400,32600,520900,,2011,Aug,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
269,Diana and Roma EN,23900000,7213499085,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787,79,73,177769000,44400,711100,533300,8500000,300000,2011,Dec,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
270,Venus Entertainment,23800000,5663125358,Entertainment,Venus Entertainment,70,,,Entertainment,367929,,2500,31633,8,127,95,1500,,2016,May,17,,,,,,
271,Troom Troom,23800000,10414479943,Howto & Style,Troom Troom,2425,United States,US,Howto,412,80,8,98052000,24500,392200,294200,4700000,100000,2015,Sep,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
272,Enrique Iglesias,23800000,17688774915,Music,Enrique Iglesias,443,United States,US,Music,154,80,77,122914000,30700,491700,368700,5900000,100000,2007,Apr,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
273,Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,3590,81,19,8368000,2100,33500,25100,401700,,2011,Nov,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
274,FaZe Rug,23700000,7451792132,Gaming,FaZeRug,0,Canada,CA,Games,4057944,3885,7268,,0,0,0,0,1,2012,Nov,30,68.9,36991981,5.56,30628482,56.130366,-106.346771
275,Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208,11,74,32817000,8200,131300,98400,1600000,,2014,Sep,22,60,66834405,3.85,55908316,55.378051,-3.435973
276,That Little Puff,23700000,20289689389,Pets & Animals,That Little Puff,769,United States,US,Animals,118,81,1,755054000,188800,3000000,2300000,36200000,1100000,2020,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
277,NickyJamTV,23600000,15901824841,Music,NickyJamTV,392,,,Music,193,3,78,77927000,19500,311700,233800,3700000,100000,2012,Jan,10,,,,,,
278,Juan De Dios Pantoja,23600000,2135644776,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529,11,10,46862000,11700,187400,140600,2200000,200000,2014,Jun,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
279,Logan Paul,23600000,5994002464,Entertainment,Logan Paul,719,United States,US,Entertainment,1057,82,75,10803000,2700,43200,32400,518600,,2015,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
280,Maya and Mary,23600000,6766461070,Entertainment,Maya and Mary,552,United States,US,Entertainment,883,82,75,44542000,11100,178200,133600,2100000,400000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
281,Peppa Pig EspaпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,23600000,7920637200,Film & Animation,Peppa Pig EspaпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,1251,United Kingdom,GB,Film,668,12,19,53589000,13400,214400,160800,2600000,100000,2014,Jul,28,60,66834405,3.85,55908316,55.378051,-3.435973
282,Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,229,13,20,41669000,10400,166700,125000,2000000,,2014,May,27,60,66834405,3.85,55908316,55.378051,-3.435973
283,Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235,13,76,59629000,14900,238500,178900,2900000,,2014,Nov,17,60,66834405,3.85,55908316,55.378051,-3.435973
284,Tilak,23400000,9465863821,Film & Animation,Tilak,6672,India,IN,Film,493,56,20,367347000,91800,1500000,1100000,17600000,900000,2020,Oct,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
285,Valentina Pontes ofc,23400000,7926899136,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,667,14,77,28285000,7100,113100,84900,1400000,,2014,Apr,14,51.3,212559417,12.08,183241641,-14.235004,-51.92528
286,Sesame Street,23300000,22471357411,Entertainment,Sesame Street,3657,United States,US,Entertainment,99,83,78,124187000,31000,496700,372600,6000000,100000,2006,Jan,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
287,Happy Lives,23200000,2634,Science & Technology,Happy Lives,1,United States,US,Entertainment,4053372,84,79,6589000000,0,0,0,0,100000,2016,Mar,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
288,Lady Gaga,23200000,15751661213,People & Blogs,Lady Gaga,172,United States,US,Music,198,83,79,143169000,35800,572700,429500,6900000,100000,2008,May,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
289,Akshay Nagwadiya,23200000,7966720147,Entertainment,Akshay Nagwadiya,595,,,Entertainment,660,,79,321179000,80300,1300000,963500,15400000,900000,2017,Oct,25,,,,,,
290,Wave Music Bhojpuri,23100000,12889240875,Music,Wave Music Bhojpuri,22578,India,IN,Music,293,59,81,52678000,13200,210700,158000,2500000,100000,2014,Aug,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
291,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68,4,81,130233000,32600,520900,390700,6300000,,2010,Nov,8,49.3,69625582,0.75,35294600,15.870032,100.992541
292,TED,23100000,2551113422,People & Blogs,TED,4445,United States,US,Tech,3568,85,4,13246000,3300,53000,39700,635800,100000,2006,Dec,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
293,unknown boy varun,23100000,9299371231,Music,unknown boy varun,456,India,IN,Music,506,58,80,304021000,76000,1200000,912100,14600000,700000,2016,Sep,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,282,85,81,128448000,32100,513800,385300,6200000,700000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
295,Tsuriki Show,23000000,31494513067,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34,1,15,756717000,189200,3000000,2300000,36300000,800000,2019,Jul,10,70.2,83132799,3.04,64324835,51.165691,10.451526
296,Technical Guruji,23000000,3378047383,Science & Technology,Technical Guruji,5041,India,IN,Tech,2420,60,5,22262000,5600,89000,66800,1100000,,2015,Oct,19,28.1,1366417754,5.36,471031528,20.593684,78.96288
297,DrossRotzank,23000000,6041264489,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,1040,5,80,35539000,8900,142200,106600,1700000,100000,2006,Mar,9,90,44938712,9.79,41339571,-38.416097,-63.616672
298,White Hill Music,23000000,10939966484,Entertainment,White Hill Music,5718,India,IN,Music,382,60,82,93183000,23300,372700,279500,4500000,100000,2014,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
299,Ultra Movie Parlour,22900000,5320485069,Movies,Ultra Movie Parlour,1670,India,IN,Film,1248,61,22,118846000,0,0,0,0,300000,2011,May,17,28.1,1366417754,5.36,471031528,20.593684,78.96288
300,Alan Becker,22900000,5380073627,Film & Animation,Alan Becker,0,United States,US,Games,4057944,7700,7453,,0,0,0,0,1,2006,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
301,toyorbabytv,22900000,16298342829,Music,toyorbabytv,1159,Jordan,JO,Music,181,2,83,169056000,42300,676200,507200,8100000,300000,2012,Nov,1,34.4,10101694,14.72,9213048,30.585164,36.238414
302,BabyBus - Canciones Infantiles & Videos para NiпїЅп,22900000,13206471140,Education,BabyBus - Canciones Infantiles & Videos paraпїЅ,1251,Mexico,MX,Education,278,12,17,136821000,34200,547300,410500,6600000,200000,2018,Mar,19,40.2,126014024,3.42,102626859,23.634501,-102.552784
303,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,KL BRO Biju Rithvik,1841,,,Entertainment,143,,79,2033000000,508100,8100000,6100000,97600000,3200000,2020,Jul,21,,,,,,
304,Vania Mania Kids,22700000,10115316784,People & Blogs,Vania Mania Kids,985,United States,US,Education,438,87,18,155215000,38800,620900,465600,7500000,300000,2015,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
305,Like Nastya PRT,22700000,11568118121,Entertainment,Like Nastya PRT,654,,,Entertainment,344,,82,96613000,24200,386500,289800,4600000,100000,2019,Apr,9,,,,,,
306,Sun TV,22600000,20847038152,People & Blogs,Sun TV,60964,India,IN,Entertainment,109,63,82,982238000,245600,3900000,2900000,47100000,600000,2016,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
307,Heroindori,22600000,9223534599,Comedy,Heroindori,495,India,IN,Entertainment,508,62,81,399152000,99800,1600000,1200000,19200000,1400000,2020,Jun,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
308,The Chainsmokers,22600000,14231943358,Music,The Chainsmokers,180,United States,US,Music,246,88,84,81660000,20400,326600,245000,3900000,100000,2012,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
309,mmoshaya,22600000,17507060680,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,156,1,83,73829000,18500,295300,221500,3500000,100000,2010,Dec,11,68,34268528,5.93,28807838,23.885942,45.079162
310,Sia,22600000,13405849040,Music,Sia,171,United States,US,Music,273,88,84,95253000,23800,381000,285800,4600000,,2007,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
311,LeoNata Family,22600000,27084848152,People & Blogs,LeoNata Family,2321,United States,US,People,57,87,11,1174000000,293500,4700000,3500000,56300000,1300000,2021,Sep,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
312,Goldmines Cineplex,22500000,2431154438,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,3793,64,23,48740000,12200,195000,146200,2300000,200000,2015,Sep,12,28.1,1366417754,5.36,471031528,20.593684,78.96288
313,Vlad and Niki Arabic,22500000,10613701948,,Vlad and Niki Arabic,526,United States,US,Entertainment,399,89,84,65066000,16300,260300,195200,3100000,100000,2018,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
314,SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,261,90,21,175094000,43800,700400,525300,8400000,200000,2009,Nov,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
315,Paulo Londra,22400000,8040036209,Music,Paulo Londra,58,Argentina,AR,Music,648,6,85,72242000,18100,289000,216700,3500000,,2016,Aug,8,90,44938712,9.79,41339571,-38.416097,-63.616672
316,Smile Family,22300000,8663830163,People & Blogs,SMILE Family,34,France,FR,Music,3805801,3046,4509,735,0.18,3,2,35,10,2019,Nov,3,65.6,67059887,8.43,54123364,46.227638,2.213749
317,FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,77,91,22,132110000,33000,528400,396300,6300000,100000,2013,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,370,92,86,139333000,34800,557300,418000,6700000,200000,2015,Sep,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
319,Charlie Puth,22000000,9924807127,Music,Charlie Puth,157,United States,US,Music,449,94,86,111500000,27900,446000,334500,5400000,100000,2009,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
320,Vlad and Niki ESP,22000000,8594440895,,Vlad and Niki ESP,515,United States,US,Entertainment,591,93,87,183871000,46000,735500,551600,8800000,200000,2018,Oct,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
321,Sagawa /пїЅпїЅпїЅ,22000000,18347969186,Entertainment,Sagawa /пїЅпїЅпїЅ,6274,Japan,JP,Entertainment,144,3,88,711254000,177800,2800000,2100000,34100000,800000,2021,Feb,13,63.2,126226568,2.29,115782416,36.204824,138.252924
322,Ben Azelart,21900000,4454917643,Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620,94,88,184946000,46200,739800,554800,8900000,500000,2014,Jun,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
323,Zach Choi ASMR,21900000,5918314128,People & Blogs,Zach Choi ASMR,946,United States,US,People,1069,94,12,234222000,58600,936900,702700,11200000,400000,2014,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
324,Topper Guild,21900000,15552070846,Comedy,Topper Guild,816,United States,US,Comedy,204,91,16,687028000,171800,2700000,2100000,33000000,1900000,2014,Jul,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
325,Disney LatinoamпїЅпїЅ,21900000,20657571751,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277,2973,4085,4719,1,19,14,227,,2008,Apr,7,40.2,126014024,3.42,102626859,23.634501,-102.552784
326,Stokes Twins,21800000,4469711607,People & Blogs,Stokes Twins,257,United States,US,People,1610,95,13,197953000,49500,791800,593900,9500000,600000,2008,Apr,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
327,National Geographic,21800000,5614621131,Science & Technology,National Geographic,10162,United States,US,Entertainment,1158,95,89,45812000,11500,183200,137400,2200000,100000,2006,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
328,Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,368,14,87,128047000,32000,512200,384100,6100000,100000,2011,Feb,5,60,66834405,3.85,55908316,55.378051,-3.435973
329,OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322,14,87,51134000,12800,204500,153400,2500000,,2010,Dec,4,60,66834405,3.85,55908316,55.378051,-3.435973
330,Rotana,21800000,19329351143,Music,rotana5018,135,,,Music,926975,,2709,10571,3,42,32,507,100,2011,Oct,27,,,,,,
331,Netflix India,21800000,7780934187,People & Blogs,NETFLIX INDIA,1,,,People,4052308,,7665,408,0,0,0,0,,2017,Sep,24,,,,,,
332,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,Sourav Joshi Vlogs,1390,,,People,498,,13,265336000,66300,1100000,796000,12700000,400000,2019,Feb,19,,,,,,
333,ZAMZAM ELECTRONICS TRADING,21700000,8507818877,,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,608,4,14,1598000000,399600,6400000,4800000,76700000,3400000,2020,Dec,19,36.8,9770529,2.35,8479744,23.424076,53.847818
334,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,481,15,90,193174000,48300,772700,579500,9300000,300000,2013,Mar,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
335,Village Cooking Channel,21600000,5863377051,Howto & Style,Village Cooking Channel,219,India,IN,Howto,1082,66,9,194604000,48700,778400,583800,9300000,400000,2018,Apr,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
336,Eva Bravo Play,21600000,9346383505,Entertainment,Eva Bravo Play,228,United States,US,Entertainment,507,96,90,63919000,16000,255700,191800,3100000,,2019,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
337,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,1081,96,88,113542000,28400,454200,340600,5400000,200000,2018,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
338,Tlnovelas,21500000,15013096899,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,1936958,2063,2940,15459,4,62,46,742,,2014,Jan,2,40.2,126014024,3.42,102626859,23.634501,-102.552784
339,SMOL,21500000,22065582014,People & Blogs,Claudio,6,,,Music,4057657,,5782,3,0,0.01,0.01,0.14,,2006,Apr,2,,,,,,
340,invictor,21500000,8409641722,Gaming,INVICTOR,17,Chile,CL,People,4038708,2889,7518,49,0.01,0.2,0.15,2,4,2016,Jul,26,88.5,18952038,7.09,16610135,-35.675147,-71.542969
341,YOLO,21400000,1573058816,Comedy,YOLO,0,Germany,DE,,4057944,3810,,,0,0,0,0,5,2013,Jun,11,70.2,83132799,3.04,64324835,51.165691,10.451526
342,Sidhu Moose Wala,21400000,6264261757,Music,Sidhu Moose Wala,114,India,IN,Music,987,67,89,160690000,40200,642800,482100,7700000,500000,2017,Oct,30,28.1,1366417754,5.36,471031528,20.593684,78.96288
343,The Royalty Family,21300000,6269945014,People & Blogs,The Royalty Family,733,United States,US,People,982,98,15,160227000,40100,640900,480700,7700000,200000,2017,Apr,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
344,Becky G,21300000,10644857969,Music,Becky G,78,United States,US,Music,396,98,90,103171000,25800,412700,309500,5000000,100000,2011,Sep,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
345,Ishaan Ali 11,21300000,12761253839,People & Blogs,Ishaan Ali 11,951,India,IN,People,301,68,16,729409000,182400,2900000,2200000,35000000,1600000,2016,Jul,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
346,Infinite,21300000,5141834668,Entertainment,Infinite,1608,United States,US,Entertainment,1296,98,93,68350000,17100,273400,205100,3300000,200000,2014,Aug,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
347,Azhan5star,21300000,10047736580,Entertainment,Azhan5star,669,India,IN,Entertainment,436,67,92,236293000,59100,945200,708900,11300000,600000,2021,Feb,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
348,Dangal TV Channel,21300000,12895427184,Entertainment,Dangal TV Channel,20225,India,IN,Entertainment,291,67,92,561020000,140300,2200000,1700000,26900000,700000,2017,Aug,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
349,Khan GS Research Centre,21200000,2073073070,Education,KHAN GS RESEARCH CENTRE,1,,,People,4057930,,7727,,0,0,0,0,,2017,Jan,5,,,,,,
350,GMA Public  Affairs,21200000,11364908616,Entertainment,GMA Public  Affairs,31989,Philippines,PH,News,359,4,7,142317000,35600,569300,427000,6800000,200000,2009,Aug,8,35.5,108116615,2.15,50975903,12.879721,121.774017
351,Tasty,21100000,5783557209,Howto & Style,Tasty,4728,United States,US,Howto,1113,99,10,24691000,6200,98800,74100,1200000,,2016,Jan,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
352,Baim Paula,21100000,4526271677,People & Blogs,Baim Paula,2325,Indonesia,ID,Entertainment,1583,8,94,26974000,6700,107900,80900,1300000,100000,2016,Jun,4,36.3,270203917,4.69,151509724,-0.789275,113.921327
353,nigahiga,21000000,4380564906,Entertainment,nigahiga,403,United States,US,Entertainment,1671,100,95,2476000,619,9900,7400,118900,,2006,Jul,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
354,Rafa & Luiz,21000000,7762905663,Entertainment,Rafa & Luiz,2883,Brazil,BR,Entertainment,695,16,94,118410000,29600,473600,355200,5700000,400000,2015,Aug,26,51.3,212559417,12.08,183241641,-14.235004,-51.92528
355,Lyrical Lemonade,21000000,10631638628,Entertainment,Lyrical Lemonade,420,United States,US,Entertainment,398,100,95,80062000,20000,320200,240200,3800000,100000,2013,Mar,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
356,Vlad and Niki IDN,21000000,9789121606,,Vlad and Niki IDN,498,United States,US,Entertainment,464,100,95,133362000,33300,533400,400100,6400000,300000,2018,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
357,Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479,Education,Dr. Vivek Bindra: Motivational Speaker,896,India,IN,Education,6082,69,20,28588000,7100,114400,85800,1400000,100000,2013,Dec,6,28.1,1366417754,5.36,471031528,20.593684,78.96288
358,Fatos Desconhecidos,20900000,3828000587,Entertainment,Fatos Desconhecidos,6262,Brazil,BR,Entertainment,2033,17,96,52330000,13100,209300,157000,2500000,100000,2013,Sep,26,51.3,212559417,12.08,183241641,-14.235004,-51.92528
359,Brave Wilderness,20900000,4927879069,Pets & Animals,Brave Wilderness,982,United States,US,Animals,1396,100,2,2989000,0,0,0,0,100000,2014,Sep,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
360,LIV Crime,20900000,11058049885,People & Blogs,LIV Crime,9850,United States,US,People,372,100,17,383700000,95900,1500000,1200000,18400000,600000,2020,Aug,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
361,Minecraft - Topic,20900000,0,,Minecraft - Topic,0,,,Games,4057944,,24,,0,0,0,0,300000,2013,Dec,20,,,,,,
362,Romeo Santos,20900000,17324976752,Music,RomeoSantos,6,United States,US,Music,2595710,5417,4067,99,0.02,0.4,0.3,5,,2006,Jul,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
363,Canal Canalha,20800000,1870608170,Comedy,Canal Canalha,288,Brazil,BR,Comedy,5407,18,18,23897000,6000,95600,71700,1100000,,2011,Apr,8,51.3,212559417,12.08,183241641,-14.235004,-51.92528
364,Kurzgesagt пїЅпїЅпїЅпїЅпїЅпї,20800000,2378448129,Education,Kurzgesagt пїЅпїЅпїЅпїЅпїЅпї,193,Germany,DE,Education,3914,2,21,29269000,7300,117100,87800,1400000,100000,2013,Jul,9,70.2,83132799,3.04,64324835,51.165691,10.451526
365,Yoeslan,20700000,17963202261,Entertainment,Yoeslan,619,United States,US,Entertainment,146,101,96,874796000,218700,3500000,2600000,42000000,1000000,2020,Sep,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
366,5-Minute Crafts DIY,20700000,5091618606,Howto & Style,5-Minute Crafts DIY,5062,United States,US,Howto,1334,103,11,20012000,5000,80000,60000,960600,,2018,Jan,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
367,Zach King,20700000,5410164682,Entertainment,Zach King,6,,,Entertainment,3997461,,4664,125,0.03,0.5,0.38,6,10,2013,Jun,5,,,,,,
368,tuzelity SHUFFLE,20700000,8658941531,People & Blogs,tuzelity SHUFFLE,889,Russia,RU,People,570,3,18,552266000,138100,2200000,1700000,26500000,1600000,2015,Oct,26,81.9,144373535,4.59,107683889,61.52401,105.318756
369,NBA,20700000,12624879732,Sports,NBA,47926,United States,US,Sports,304,103,4,73025000,18300,292100,219100,3500000,,2005,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
370,Deddy Corbuzier,20600000,4956090094,Entertainment,deddycorbuzier,15,Indonesia,ID,Entertainment,3539124,4044,6217,85,0.02,0.34,0.26,4,1,2007,Jul,23,36.3,270203917,4.69,151509724,-0.789275,113.921327
371,Bizarrap,20600000,7657171980,Comedy,Bizarrap,83,Argentina,AR,Entertainment,711,8,98,193176000,48300,772700,579500,9300000,200000,2017,Jan,15,90,44938712,9.79,41339571,-38.416097,-63.616672
372,Avicii,20600000,10292874715,Music,Avicii,156,Sweden,SE,Music,421,1,92,81236000,20300,324900,243700,3900000,,2009,Oct,28,67,10285453,6.48,9021165,60.128161,18.643501
373,Mnet K-POP,20500000,15038593883,Entertainment,Mnet K-POP,33229,South Korea,KR,Entertainment,220,7,99,158540000,39600,634200,475600,7600000,100000,2006,Mar,9,94.3,51709098,4.15,42106719,35.907757,127.766922
374,LazarBeam,20500000,8768697257,Gaming,LazarBeam,1323,Australia,AU,Games,565,3,25,26082000,6500,104300,78200,1300000,,2015,Jan,4,113.1,25766605,5.27,21844756,-25.274398,133.775136
375,Ninja Kidz TV,20500000,11009148579,Entertainment,Ninja Kidz TV,296,United States,US,Entertainment,377,104,99,195203000,48800,780800,585600,9400000,100000,2017,Feb,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
376,Totoy kids - PortuguпїЅ,20400000,1796227417,Film & Animation,Totoy kids - PortuguпїЅ,206,Brazil,BR,Film,5673,19,24,39495000,9900,158000,118500,1900000,100000,2014,Dec,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
377,Jake Paul,20400000,7311322368,People & Blogs,Jake Paul,1006,United States,US,People,778,105,19,14646000,3700,58600,43900,703000,100000,2013,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
378,Linkin Park,20400000,13397000296,Music,linkinpark,0,Afghanistan,AF,Games,4057944,1385,7136,,0,0,0,0,12,2006,Nov,28,9.7,38041754,11.12,9797273,33.93911,67.709953
379,Vijay Television,20400000,29406206620,Entertainment,Vijay Television,51515,India,IN,Entertainment,43,70,100,907534000,226900,3600000,2700000,43600000,400000,2007,Feb,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
380,SlivkiShow,20400000,4707412332,Entertainment,SlivkiShow,462,Ukraine,UA,Entertainment,1489,1,100,28990000,7200,116000,87000,1400000,,2012,Dec,11,82.7,44385155,8.88,30835699,48.379433,31.16558
381,Emiway Bantai,20400000,3579555124,Music,Emiway Bantai,239,India,IN,Music,2236,70,94,41289000,10300,165200,123900,2000000,100000,2013,May,3,28.1,1366417754,5.36,471031528,20.593684,78.96288
382,Got Talent Global,20300000,2441288701,Entertainment,Got Talent Global,1245,United Kingdom,GB,Entertainment,3750,15,101,86457000,21600,345800,259400,4100000,100000,2013,Jan,31,60,66834405,3.85,55908316,55.378051,-3.435973
383,эээээээээээээээ - Genevieve's Playhouse,20300000,11022391339,Education,эээээээээээээээ - Genevieve's Playhouse,107,,,Education,380,,22,71777000,17900,287100,215300,3400000,200000,2018,Jul,22,,,,,,
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,BabyBus - Cerita & Lagu Anak-anak,875,Indonesia,ID,Education,332,10,22,112768000,28200,451100,338300,5400000,100000,2019,Jan,14,36.3,270203917,4.69,151509724,-0.789275,113.921327
385,Ami Rodriguez,20200000,2951914200,Entertainment,Ami Rodriguez,460,Colombia,CO,Entertainment,2959,7,103,263864000,66000,1100000,791600,12700000,1600000,2009,Jul,20,55.3,50339443,9.71,40827302,4.570868,-74.297333
386,Noor Stars,20200000,2764127969,Comedy,Noor Stars,693,United Arab Emirates,AE,Entertainment,3238,5,102,15556000,3900,62200,46700,746700,100000,2014,Apr,24,36.8,9770529,2.35,8479744,23.424076,53.847818
387,Family GamesTV,20200000,7066711323,Entertainment,FamilyGamesTV,0,,,Games,4057944,,7492,,0,0,0,0,,2012,Dec,29,,,,,,
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,226,India,IN,Education,780,71,23,113420000,28400,453700,340300,5400000,300000,2017,May,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
389,dednahype,20200000,20919403720,Comedy,dednahype,1935,Latvia,LV,Comedy,108,1,19,1245000000,311200,5000000,3700000,59800000,1200000,2020,Mar,20,88.1,1912789,6.52,1304943,56.879635,24.603189
